2023-05-30 03:54:40.763 [main] INFO  com.hw.exceptions.ExceptionsRunner - Check the age!
2023-05-30 04:42:40.044 [main] INFO  com.hw.exceptions.ExceptionsRunner - Enter the price: 
2023-05-30 04:54:54.312 [main] INFO  com.hw.Main - [Honda, Mercedes, Kia, Toyota, Tesla]
2023-05-30 04:54:54.313 [main] INFO  com.hw.Main - -------------------------------------
2023-05-30 04:54:54.313 [main] INFO  com.hw.Main - null
2023-05-30 04:54:54.313 [main] INFO  com.hw.Main - ---------------------------------------------
2023-05-30 04:54:54.313 [main] INFO  com.hw.Main - We have that car!
2023-05-30 04:54:54.313 [main] INFO  com.hw.Main - ------------------------------------------
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - true
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - [Honda, Mercedes, Toyota, Tesla]
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - --------------------------------------------
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - {Kia=3, Mercedes=2, Honda=1}
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - -----------------------------------------------------
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - Key as Kia is found
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - ------------------------------------
2023-05-30 04:54:54.314 [main] INFO  com.hw.Main - null
2023-05-30 04:54:54.315 [main] INFO  com.hw.Main - -----------------------------------------
2023-05-30 04:54:54.315 [main] INFO  com.hw.Main - [2, 3, 4]
2023-05-30 04:54:54.315 [main] INFO  com.hw.Main - -----------------------------------------
2023-05-30 05:02:01.952 [main] INFO  com.hw.Main - [Honda, Mercedes, Kia, Toyota, Tesla]
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - -------------------------------------
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - null
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - 0
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - ---------------------------------------------
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - We have that car!
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - ------------------------------------------
2023-05-30 05:02:01.954 [main] INFO  com.hw.Main - true
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - [Honda, Mercedes, Toyota, Tesla]
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - --------------------------------------------
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - {Kia=3, Mercedes=2, Honda=1}
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - -----------------------------------------------------
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - Key as Kia is found
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - ------------------------------------
2023-05-30 05:02:01.955 [main] INFO  com.hw.Main - null
2023-05-30 05:02:01.956 [main] INFO  com.hw.Main - -----------------------------------------
2023-05-30 05:02:01.956 [main] INFO  com.hw.Main - [2, 3, 4]
2023-05-30 05:02:01.956 [main] INFO  com.hw.Main - -----------------------------------------
2023-05-30 05:03:21.276 [main] INFO  com.hw.Main - [Honda, Mercedes, Kia, Toyota, Tesla]
